ISO3,item_name,band_name,deltaE_mean,deltaE_mean_sem,unit,pixel_count,physical_area_km2,sp_count
BLR,OPUL,all,-1.32E-10,9.84E-13,deltaE per km2 per sp.,3906,651.3630018,31076
BEL,OPUL,all,-1.48E-10,1.97E-12,deltaE per km2 per sp.,449,14.34599998,31076
BLZ,OPUL,all,-5.87E-09,1.59E-10,deltaE per km2 per sp.,38,14.61300001,31076
BTN,OPUL,all,-1.17E-08,2.86E-09,deltaE per km2 per sp.,54,19.47000008,31076
BOL,OPUL,all,-4.88E-09,6.16E-09,deltaE per km2 per sp.,2084,159.7949999,31076
BIH,OPUL,all,-3.50E-10,3.41E-11,deltaE per km2 per sp.,258,16.11200005,31076
BWA,OPUL,all,-1.97E-09,5.72E-11,deltaE per km2 per sp.,123,184.2019993,31076
NOR,OPUL,all,-6.25E-11,7.16E-13,deltaE per km2 per sp.,1347,13.69500002,31076
COL,OPUL,all,-3.32E-08,3.56E-09,deltaE per km2 per sp.,919,281.0049994,31076
COM,OPUL,all,,,deltaE per km2 per sp.,,,31076
BRA,OPUL,all,-5.54E-09,1.09E-09,deltaE per km2 per sp.,4119,361.3880003,31076
FRA,OPUL,all,-2.69E-10,1.36E-10,deltaE per km2 per sp.,2063,2977.428,31076
COD,OPUL,all,-3.94E-09,1.92E-10,deltaE per km2 per sp.,5873,1408.433997,31076
COG,OPUL,all,-4.40E-09,3.26E-10,deltaE per km2 per sp.,1760,77.59999945,31076
NZL,OPUL,all,-1.88E-09,1.70E-10,deltaE per km2 per sp.,710,85.26199966,31076
BRN,OPUL,all,,,deltaE per km2 per sp.,,,31076
BGR,OPUL,all,-2.74E-10,6.24E-12,deltaE per km2 per sp.,1306,19.11799997,31076
BFA,OPUL,all,-9.60E-10,6.30E-12,deltaE per km2 per sp.,2784,621.3920002,31076
BDI,OPUL,all,-3.57E-09,8.71E-10,deltaE per km2 per sp.,124,311.9680008,31076
CPV,OPUL,all,-1.96E-08,4.19E-09,deltaE per km2 per sp.,42,179.5339996,31076
KHM,OPUL,all,-2.58E-09,3.46E-10,deltaE per km2 per sp.,3,5.697999992,31076
CMR,OPUL,all,-6.00E-08,6.70E-09,deltaE per km2 per sp.,154,422.4810001,31076
CAN,OPUL,all,-1.66E-10,1.35E-12,deltaE per km2 per sp.,10029,12714.80006,31076
CRI,OPUL,all,,,deltaE per km2 per sp.,,,31076
CIV,OPUL,all,-6.10E-09,1.49E-10,deltaE per km2 per sp.,3425,182.2690001,31076
HRV,OPUL,all,-2.98E-10,2.32E-11,deltaE per km2 per sp.,610,9.645999989,31076
CUB,OPUL,all,,,deltaE per km2 per sp.,,,31076
CAF,OPUL,all,-1.00E-09,1.08E-11,deltaE per km2 per sp.,3505,323.9109969,31076
TCD,OPUL,all,-1.02E-09,1.11E-11,deltaE per km2 per sp.,1498,155.117,31076
CHL,OPUL,all,-5.07E-09,2.22E-10,deltaE per km2 per sp.,1186,229.5889999,31076
CHN,OPUL,all,-2.39E-09,3.00E-10,deltaE per km2 per sp.,49378,17874.90599,31076
CYP,OPUL,all,-6.56E-09,7.35E-10,deltaE per km2 per sp.,103,4.202999982,31076
CZE,OPUL,all,-1.82E-10,5.44E-13,deltaE per km2 per sp.,1173,295.5830005,31076
DNK,OPUL,all,-6.68E-11,1.78E-12,deltaE per km2 per sp.,602,67.976,31076
DJI,OPUL,all,,,deltaE per km2 per sp.,,,31076
DMA,OPUL,all,-1.69E-07,3.01E-08,deltaE per km2 per sp.,10,1.05399997,31076
DOM,OPUL,all,-1.15E-07,9.04E-09,deltaE per km2 per sp.,201,100.2210002,31076
ECU,OPUL,all,-6.88E-08,1.79E-08,deltaE per km2 per sp.,25,188.4880012,31076
EGY,OPUL,all,-1.33E-10,2.83E-11,deltaE per km2 per sp.,373,606.888002,31076
SLV,OPUL,all,,,deltaE per km2 per sp.,,,31076
GNQ,OPUL,all,,,deltaE per km2 per sp.,,,31076
ERI,OPUL,all,-2.38E-09,1.16E-09,deltaE per km2 per sp.,66,421.301997,31076
EST,OPUL,all,-8.37E-11,7.51E-13,deltaE per km2 per sp.,853,63.96100001,31076
ETH,OPUL,all,-3.33E-09,1.29E-10,deltaE per km2 per sp.,2564,5778.809005,31076
FJI,OPUL,all,-2.68E-08,2.72E-10,deltaE per km2 per sp.,41,27.35400003,31076
