Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","368","Iraq","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2687","E","Estimated value"
"FBS","Food Balances (2010-)","372","Ireland","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3861","E","Estimated value"
"FBS","Food Balances (2010-)","376","Israel","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3701","E","Estimated value"
"FBS","Food Balances (2010-)","380","Italy","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3733","E","Estimated value"
"FBS","Food Balances (2010-)","388","Jamaica","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2882","E","Estimated value"
"FBS","Food Balances (2010-)","392","Japan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2659","E","Estimated value"
"FBS","Food Balances (2010-)","400","Jordan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2151","E","Estimated value"
"FBS","Food Balances (2010-)","398","Kazakhstan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3366","E","Estimated value"
"FBS","Food Balances (2010-)","404","Kenya","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2218","E","Estimated value"
"FBS","Food Balances (2010-)","296","Kiribati","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3097","E","Estimated value"
"FBS","Food Balances (2010-)","414","Kuwait","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3496","E","Estimated value"
"FBS","Food Balances (2010-)","417","Kyrgyzstan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2695","E","Estimated value"
