,livestock,fcr,item_name,production,rum_feed_req,pasture_produced,g_rat,eff_yield_tonnes_km2,fp_m2_kg,fp_m2_kg_err,fp_m2_kg_perc,Country_ISO
709,bvmilk,0.7,"Milk, Total",654300.0,458010.0,522671.35681613395,0.19699058293746116,226.3891577279376,4.417172668674119,0.1662479332660552,0.03763672958611261,ARM
710,sgmeat,15,Sheep and Goat Meat,10635.0,159525.0,8495.506464526341,0.06861187035894083,10.56482736063709,94.65370004301681,6.5295183239984445,0.06898323384116,ARM
711,other,15,"Meat, nes",,,,,,,,,ARM
712,bvmeat,25,Beef and Buffalo Meat,3168472.0,79211800.0,2616063.584717174,0.9004498971062995,3.8902599134987472,257.05223358730274,1.7164008261306651,0.006677245329392259,ARG
713,bvmilk,0.7,"Milk, Total",11113188.0,7779231.6,9175655.153940411,0.08843137378251818,138.93785405352668,7.1974625404444765,0.04805922313165863,0.006677245329392259,ARG
714,sgmeat,15,Sheep and Goat Meat,65207.0,978105.0,53838.46162082315,0.011118729111182387,6.483766522497912,154.23134015238162,1.0994183717392698,0.007128372032902243,ARG
715,other,15,"Meat, nes",,,,,,,,,ARG
716,bvmeat,25,Beef and Buffalo Meat,66.0,1650.0,59.58233074019873,0.4236309019487021,3.5161700000000007,284.40035606924573,24.49551307240206,0.08613038819978797,ATG
717,bvmilk,0.7,"Milk, Total",3057.0,2139.9,2759.7452283755683,0.5494107679272895,125.57750000000001,7.963209969938882,0.6858743660272578,0.08613038819978797,ATG
718,sgmeat,15,Sheep and Goat Meat,7.0,105.0,6.319338108808956,0.026958330124008317,5.860283333333334,170.64021364154746,21.210094954957672,0.12429716596295588,ATG
719,other,15,"Meat, nes",,,,,,,,,ATG
720,bvmeat,25,Beef and Buffalo Meat,104876.0,2621900.0,71101.14452883015,0.8284650727827374,0.21345224065461246,4684.88874575977,83.83057982694775,0.017893825099437353,AGO
721,bvmilk,0.7,"Milk, Total",219669.0,153768.3,148925.5627360272,0.04858753798816804,7.6232943090933025,131.17688488127357,2.347256235154537,0.017893825099437353,AGO
722,sgmeat,15,Sheep and Goat Meat,25940.0,389100.0,17586.136857601872,0.1229473892290946,0.3557537344243541,2810.9332474558623,36.70495982904453,0.013057926531078495,AGO
723,other,15,"Meat, nes",,,,,,,,,AGO
724,bvmeat,25,Beef and Buffalo Meat,144434.0,3610850.0,49652.11375845033,0.3201332987233376,0.472766823647753,2115.207645672437,52.824009438078626,0.02497343915437936,DZA
725,bvmilk,0.7,"Milk, Total",3354704.0,2348292.8,1153247.4668978797,0.20819660756671224,16.88452941599118,59.22581407882824,1.4790722642662015,0.02497343915437936,DZA
726,sgmeat,15,Sheep and Goat Meat,354671.0,5320065.0,121925.34194734853,0.47167009370995006,0.7879447060795883,1269.1245874034626,17.12418361328753,0.013492909824024745,DZA
727,other,15,"Meat, nes",,,,,,,,,DZA
728,bvmeat,25,Beef and Buffalo Meat,32870.0,821750.0,19873.886184457962,0.4294869905293872,9.680658242677826,103.29876077965788,6.186395840753935,0.0598883838882624,ALB
729,bvmilk,0.7,"Milk, Total",1052206.0,736544.2,636185.6491208936,0.38495424624262253,345.73779438135085,2.8923653018304214,0.1732190835411102,0.0598883838882624,ALB
730,sgmeat,15,Sheep and Goat Meat,23669.0,355035.0,14310.770066928368,0.18555876322799025,16.13443040446304,61.97925646779475,5.390014820771193,0.08696481900475714,ALB
731,other,15,"Meat, nes",,,,,,,,,ALB
732,bvmeat,25,Beef and Buffalo Meat,116008.0,2900200.0,102887.05598582467,0.4294307130528043,0.7917170748793867,1263.07747013331,26.77494775973665,0.021198183320387087,AFG
733,bvmilk,0.7,"Milk, Total",2137132.0,1495992.4,1895414.2794729453,0.22151061411405282,28.27560981712095,35.36616916373267,0.749698537272626,0.021198183320387087,AFG
734,sgmeat,15,Sheep and Goat Meat,157160.0,2357400.0,139384.60898155477,0.34905867283314285,1.3195284581323112,757.8464820799858,9.783520088438243,0.01290963317740341,AFG
735,other,15,"Meat, nes",,,,,,,,,AFG
