ISO3,item_name,band_name,data_mean,data_mean_sem,unit,pixel_count,physical_area_km2
GTM,RCOF,median,0.5623254325802689,0.038806816576841555,tonnes carbon per km2,991.0,633.5789986161143
NPL,RCOF,median,0.0,,tonnes carbon per km2,1.0,0.0
GIN,RCOF,median,0.27486272856208893,0.008662200931199729,tonnes carbon per km2,2860.0,558.6890000972151
GNB,RCOF,median,0.0,,tonnes carbon per km2,5.0,0.0
GUY,RCOF,median,0.5575921648704365,0.04050104166521919,tonnes carbon per km2,119.0,7.534000008627772
HTI,RCOF,median,,,tonnes carbon per km2,,
JOR,RCOF,median,,,tonnes carbon per km2,,
HND,RCOF,median,,,tonnes carbon per km2,,
HUN,RCOF,median,,,tonnes carbon per km2,,
ISL,RCOF,median,,,tonnes carbon per km2,,
IDN,RCOF,median,0.2943160957713438,0.006624853694697755,tonnes carbon per km2,15004.0,8841.28300300762
IRN,RCOF,median,,,tonnes carbon per km2,,
IRQ,RCOF,median,,,tonnes carbon per km2,,
IRL,RCOF,median,,,tonnes carbon per km2,,
KAZ,RCOF,median,,,tonnes carbon per km2,,
KEN,RCOF,median,,,tonnes carbon per km2,,
KIR,RCOF,median,,,tonnes carbon per km2,,
PRK,RCOF,median,,,tonnes carbon per km2,,
KOR,RCOF,median,,,tonnes carbon per km2,,
XKX,RCOF,median,,,tonnes carbon per km2,,
SRB,RCOF,median,,,tonnes carbon per km2,,
SYC,RCOF,median,,,tonnes carbon per km2,,
SLE,RCOF,median,0.08103505697676497,0.016097426026806232,tonnes carbon per km2,295.0,8.461999991834164
SGP,RCOF,median,,,tonnes carbon per km2,,
ITA,RCOF,median,,,tonnes carbon per km2,,
JAM,RCOF,median,,,tonnes carbon per km2,,
JPN,RCOF,median,,,tonnes carbon per km2,,
KGZ,RCOF,median,,,tonnes carbon per km2,,
LAO,RCOF,median,0.12692217726802582,0.008545215580897646,tonnes carbon per km2,2591.0,861.4899998003247
LVA,RCOF,median,,,tonnes carbon per km2,,
LBN,RCOF,median,,,tonnes carbon per km2,,
LSO,RCOF,median,,,tonnes carbon per km2,,
LBR,RCOF,median,0.07288729039743985,0.00854330501466534,tonnes carbon per km2,426.0,26.465999986603855
LBY,RCOF,median,,,tonnes carbon per km2,,
LIE,RCOF,median,,,tonnes carbon per km2,,
LTU,RCOF,median,,,tonnes carbon per km2,,
LUX,RCOF,median,,,tonnes carbon per km2,,
MCO,RCOF,median,,,tonnes carbon per km2,,
MNG,RCOF,median,,,tonnes carbon per km2,,
MNE,RCOF,median,,,tonnes carbon per km2,,
MKD,RCOF,median,,,tonnes carbon per km2,,
MDG,RCOF,median,0.21328375821471443,0.015042707431466781,tonnes carbon per km2,3197.0,910.7940001551807
MWI,RCOF,median,,,tonnes carbon per km2,,
MYS,RCOF,median,0.2002309094114123,0.01564042363122137,tonnes carbon per km2,1931.0,15.341000062301756
MDV,RCOF,median,,,tonnes carbon per km2,,
MLI,RCOF,median,1.1169059458115183,0.34991711359599925,tonnes carbon per km2,7.0,0.474063652488403
MLT,RCOF,median,,,tonnes carbon per km2,,
MHL,RCOF,median,,,tonnes carbon per km2,,
MRT,RCOF,median,,,tonnes carbon per km2,,
MUS,RCOF,median,,,tonnes carbon per km2,,
MEX,RCOF,median,0.5503216082517106,0.015260539282412182,tonnes carbon per km2,4234.0,253.5480005361885
FSM,RCOF,median,,,tonnes carbon per km2,,
MDA,RCOF,median,,,tonnes carbon per km2,,
NIC,RCOF,median,,,tonnes carbon per km2,,
OMN,RCOF,median,,,tonnes carbon per km2,,
PAK,RCOF,median,,,tonnes carbon per km2,,
PLW,RCOF,median,,,tonnes carbon per km2,,
PAN,RCOF,median,,,tonnes carbon per km2,,
PNG,RCOF,median,0.051594503866938424,0.0022933862226610893,tonnes carbon per km2,5220.0,0.2800000045448542
PRY,RCOF,median,,,tonnes carbon per km2,,
PER,RCOF,median,0.25152809012648286,0.0925693648294584,tonnes carbon per km2,6.0,0.10400000214576721
PHL,RCOF,median,0.22249813885689199,0.011745569364889293,tonnes carbon per km2,1976.0,868.31800274387
POL,RCOF,median,,,tonnes carbon per km2,,
PRT,RCOF,median,,,tonnes carbon per km2,,
ROU,RCOF,median,,,tonnes carbon per km2,,
RUS,RCOF,median,,,tonnes carbon per km2,,
RWA,RCOF,median,,,tonnes carbon per km2,,
WSM,RCOF,median,,,tonnes carbon per km2,,
SMR,RCOF,median,,,tonnes carbon per km2,,
TON,RCOF,median,,,tonnes carbon per km2,,
TTO,RCOF,median,0.34634505615376593,0.032606411273319744,tonnes carbon per km2,52.0,38.41199998736382
TUN,RCOF,median,,,tonnes carbon per km2,,
TKM,RCOF,median,,,tonnes carbon per km2,,
STP,RCOF,median,,,tonnes carbon per km2,,
SAU,RCOF,median,,,tonnes carbon per km2,,
SEN,RCOF,median,,,tonnes carbon per km2,,
SVK,RCOF,median,,,tonnes carbon per km2,,
SVN,RCOF,median,,,tonnes carbon per km2,,
SLB,RCOF,median,,,tonnes carbon per km2,,
